                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5961,                 2.9186,                 1.2147,                      0,                      0,                      0,                      0,                 1.2433,                 2.9261,                 1.0572,              0.0003285,              0.0003285,              0.0003285
                      2,                 1.3236,                 1.8666,                 1.0684,                0.54595,                0.03738,                0.29177,                0.23816,                 1.1547,                 1.9021,                 1.0172,             0.00066053,             0.00066053,             0.00066053
                      3,                 1.2387,                 1.6935,                 1.0544,                 0.5075,                0.19708,                0.35616,                0.27636,                 1.1228,                 1.8936,                 1.0194,             0.00099123,             0.00099123,             0.00099123
                      4,                 1.2029,                 1.5995,                  1.047,                0.53466,                0.14369,                0.34251,                0.26904,                 1.0803,                 1.5818,                 1.0102,             0.00099406,             0.00099406,             0.00099406
                      5,                 1.1913,                 1.5171,                 1.0444,                0.77745,                0.11925,                0.44659,                0.37551,                 1.0563,                 1.4093,                0.99525,             0.00099208,             0.00099208,             0.00099208
                      6,                 1.1492,                 1.4286,                 1.0314,                0.71345,                0.17933,                0.44149,                0.35951,                 1.0548,                   1.48,                 1.0037,              0.0009901,              0.0009901,              0.0009901
                      7,                  1.134,                 1.3889,                 1.0245,                0.68588,                0.15958,                0.42405,                0.33601,                 1.0483,                 1.4783,                0.99527,             0.00098812,             0.00098812,             0.00098812
                      8,                 1.1369,                 1.3586,                  1.022,                0.86019,                0.15781,                0.50939,                0.42042,                 1.0169,                 1.3631,                0.98534,             0.00098614,             0.00098614,             0.00098614
                      9,                 1.1194,                 1.3224,                 1.0211,                0.85166,                0.14523,                0.49932,                0.39402,                 1.0314,                 1.4524,                0.98795,             0.00098416,             0.00098416,             0.00098416
                     10,                 1.1084,                 1.2928,                 1.0166,                 0.8124,                0.20373,                0.50929,                0.41506,                 1.0087,                 1.2451,                 0.9761,             0.00098218,             0.00098218,             0.00098218
                     11,                 1.1097,                 1.2723,                 1.0114,                0.85763,                0.14857,                  0.502,                0.40647,                 1.0069,                 1.3003,                0.98386,              0.0009802,              0.0009802,              0.0009802
                     12,                 1.0984,                 1.2863,                 1.0127,                0.80824,                0.21654,                0.52263,                0.41762,                 1.0199,                 1.7072,                0.98907,             0.00097822,             0.00097822,             0.00097822
                     13,                 1.0721,                  1.245,                 1.0101,                0.92192,                0.19799,                 0.5596,                0.45399,                0.98017,                 1.1625,                0.96633,             0.00097624,             0.00097624,             0.00097624
                     14,                 1.0788,                 1.2235,                 1.0082,                0.83792,                0.24411,                0.54089,                0.46024,                0.98403,                 1.4645,                0.97119,             0.00097426,             0.00097426,             0.00097426
